Binary,Old Name,New Name,Type,Implementation
0x00,unreachable,unreachable,,
0x01,nop,nop,,
0x02,block,block,block,
0x03,loop,loop,block,
0x04,if,if,block,
0x0C,br,br,index,
0x0D,br_if,br_if,index,
0x0E,br_table,br_table,branch-table,
0x10,call,call,index,
0x11,call_indirect,call_indirect,table-index,
0x1A,drop,drop,,
0x1B,select,select,,
0x20,get_local,local.get,index,
0x21,set_local,local.set,index,
0x22,tee_local,local.tee,index,
0x23,get_global,global.get,index,
0x24,set_global,global.set,index,
0x28,i32.load,i32.load,memarg,
0x29,i64.load,i64.load,memarg,
0x2A,f32.load,f32.load,memarg,
0x2B,f64.load,f64.load,memarg,
0x2C,i32.load8_s,i32.load8_s,memarg,
0x2D,i32.load8_u,i32.load8_u,memarg,
0x2E,i32.load16_s,i32.load16_s,memarg,
0x2F,i32.load16_u,i32.load16_u,memarg,
0x30,i64.load8_s,i64.load8_s,memarg,
0x31,i64.load8_u,i64.load8_u,memarg,
0x32,i64.load16_s,i64.load16_s,memarg,
0x33,i64.load16_u,i64.load16_u,memarg,
0x34,i64.load32_s,i64.load32_s,memarg,
0x35,i64.load32_u,i64.load32_u,memarg,
0x36,i32.store,i32.store,memarg,
0x37,i64.store,i64.store,memarg,
0x38,f32.store,f32.store,memarg,
0x39,f64.store,f64.store,memarg,
0x3A,i32.store8,i32.store8,memarg,
0x3B,i32.store16,i32.store16,memarg,
0x3C,i64.store8,i64.store8,memarg,
0x3D,i64.store16,i64.store16,memarg,
0x3E,i64.store32,i64.store32,memarg,
0x3F,memory.size,memory.size,index,
0x40,memory.grow,memory.grow,index,
0x41,i32.const,i32.const,const,
0x42,i64.const,i64.const,const,
0x43,f32.const,f32.const,const,
0x44,f64.const,f64.const,const,
0x45,i32.eqz,i32.eqz,,eqz::<u32>
0x46,i32.eq,i32.eq,,eq::<u32>
0x47,i32.ne,i32.ne,,ne::<u32>
0x48,i32.lt_s,i32.lt_s,,lt_s::<u32>
0x49,i32.lt_u,i32.lt_u,,lt_u::<u32>
0x4A,i32.gt_s,i32.gt_s,,gt_s::<i32>
0x4B,i32.gt_u,i32.gt_u,,gt_u::<i32>
0x4C,i32.le_s,i32.le_s,,le_s::<i32>
0x4D,i32.le_u,i32.le_u,,le_u::<i32>
0x4E,i32.ge_s,i32.ge_s,,ge_s::<i32>
0x4F,i32.ge_u,i32.ge_u,,ge_u::<i32>
0x50,i64.eqz,i64.eqz,,eqz::<u64>
0x51,i64.eq,i64.eq,,eq::<u64>
0x52,i64.ne,i64.ne,,ne::<u64>
0x53,i64.lt_s,i64.lt_s,,lt_s::<u64>
0x54,i64.lt_u,i64.lt_u,,lt_u::<u64>
0x55,i64.gt_s,i64.gt_s,,gt_s::<u64>
0x56,i64.gt_u,i64.gt_u,,gt_u::<u64>
0x57,i64.le_s,i64.le_s,,le_s::<u64>
0x58,i64.le_u,i64.le_u,,le_u::<u64>
0x59,i64.ge_s,i64.ge_s,,ge_s::<u64>
0x5A,i64.ge_u,i64.ge_u,,ge_u::<i64>
0x5B,f32.eq,f32.eq,,eq::<f32>
0x5C,f32.ne,f32.ne,,ne::<f32>
0x5D,f32.lt,f32.lt,,lt::<f32>
0x5E,f32.gt,f32.gt,,gt::<f32>
0x5F,f32.le,f32.le,,le::<f32>
0x60,f32.ge,f32.ge,,ge::<f32>
0x61,f64.eq,f64.eq,,eq::<f64>
0x62,f64.ne,f64.ne,,ne::<f64>
0x63,f64.lt,f64.lt,,lt::<f64>
0x64,f64.gt,f64.gt,,gt::<f64>
0x65,f64.le,f64.le,,le::<f64>
0x66,f64.ge,f64.ge,,ge::<f64>
0x67,i32.clz,i32.clz,,clz::<u32>
0x68,i32.ctz,i32.ctz,,ctz::<u32>
0x69,i32.popcnt,i32.popcnt,,popcnt::<u32>
0x6A,i32.add,i32.add,,add::<i32>
0x6B,i32.sub,i32.sub,,sub::<i32>
